Net Status Report
Filename     : C:\Users\Zeynep\Desktop\Zeynep\software\plugins\github\uz_d_gan_inverter_epc\GaN_Inverter\GanInverter.PcbDoc
Date         : 6/7/2023
Time         : 11:29:55 AM
Time Elapsed : 00:00:00

Nets, Layer, Length
    NetD1_2, Signal Layers Only, 3.05mm
    NetD2_2, Signal Layers Only, 3.05mm
    NetD3_2, Signal Layers Only, 3.05mm
    NetJ1_Shell, Signal Layers Only, 27.4298mm
    NetJ7_Shell, Signal Layers Only, 26.5417mm
    NetJ8A_1, Signal Layers Only, 73.0051mm
    NetJ8B_1, Signal Layers Only, 70.9891mm
    NetJ8C_1, Signal Layers Only, 70.9775mm
    NetJ9A_1, Signal Layers Only, 78.9513mm
    NetJ9B_1, Signal Layers Only, 77.1227mm
    NetJ9C_1, Signal Layers Only, 76.7307mm
    NetR12A_2, Signal Layers Only, 1.7866mm
    NetR12B_2, Signal Layers Only, 1.7866mm
    NetR12C_2, Signal Layers Only, 1.7744mm
    NetR13A_2, Signal Layers Only, 1.7872mm
    NetR13B_2, Signal Layers Only, 1.7872mm
    NetR13C_2, Signal Layers Only, 1.7872mm
    NetR17A_2, Signal Layers Only, 66.6906mm
    NetR17B_2, Signal Layers Only, 61.5944mm
    NetR17C_2, Signal Layers Only, 65.8432mm
    NetR19A_2, Signal Layers Only, 63.9843mm
    NetR19B_2, Signal Layers Only, 65.166mm
    NetR19C_2, Signal Layers Only, 63.8357mm
    NetR1_2, Signal Layers Only, 13.7836mm
    NetR20A_2, Signal Layers Only, 2.965mm
    NetR20B_2, Signal Layers Only, 2.965mm
    NetR20C_2, Signal Layers Only, 2.965mm
    NetR21A_2, Signal Layers Only, 3.0689mm
    NetR21B_2, Signal Layers Only, 2.965mm
    NetR21C_2, Signal Layers Only, 2.965mm
    NetR24A_2, Signal Layers Only, 6.4873mm
    NetR24B_2, Signal Layers Only, 8.8755mm
    NetR24C_2, Signal Layers Only, 1.6071mm
    NetR25A_2, Signal Layers Only, 2.5946mm
    NetR25B_2, Signal Layers Only, 3.1249mm
    NetR25C_2, Signal Layers Only, 7.7307mm
    NetR26A_2, Signal Layers Only, 7.2778mm
    NetR26B_2, Signal Layers Only, 9.2992mm
    NetR26C_2, Signal Layers Only, 1.3889mm
    NetR27A_2, Signal Layers Only, 4.8088mm
    NetR27B_2, Signal Layers Only, 5.1936mm
    NetR27C_2, Signal Layers Only, 5.3608mm
    NetR3_2, Signal Layers Only, 10.864mm
    NetR43A_2, Signal Layers Only, 2.1491mm
    NetR43B_2, Signal Layers Only, 1.868mm
    NetR43C_2, Signal Layers Only, 1.8546mm
    NetR47A_1, Signal Layers Only, 7.1173mm
    NetR47B_1, Signal Layers Only, 7.178mm
    NetR47C_1, Signal Layers Only, 6.9926mm
